Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
236,Entrepreneurship,Customer Discovery: Talking to Users Before Building,Learn how to conduct customer discovery interviews that reveal what to build before you write a single line of code,You will be able to design and conduct 10 customer discovery interviews and extract actionable insights,"Interview design, asking questions without leading, synthesising insights, pivot vs persevere decision",Conduct 5 real customer discovery interviews for your own business idea and present findings,4 hours,Intermediate
237,Entrepreneurship,Building a Tech Portfolio Company: Owning Multiple Products,Learn the strategy of building multiple small tech products that collectively generate significant income,You will be able to design a personal tech portfolio strategy and manage multiple products simultaneously,"Portfolio vs single product strategy, prioritisation, shared infrastructure, cross-selling, time management",Design a personal tech product portfolio strategy and build the first product,6 hours,Advanced
238,Entrepreneurship,Accelerators and Incubators: Getting Into CcHUB FATE and Others,Learn how to apply to and get the most from Nigerian tech accelerator and incubator programmes,You will be able to prepare a compelling application for CcHUB iDEA FATE Foundation and other top programmes,"What accelerators offer, application requirements, how to stand out, making the most of the programme",Write a complete accelerator application for your startup,4 hours,Intermediate
239,Entrepreneurship,Impact Tech: Building for Social Good and Profitability,Learn how to build technology businesses that are both profitable and address real social challenges,You will be able to identify tech opportunities that are commercially viable and socially impactful in Nigeria,"Impact metrics, social enterprise models, impact investing, SDG alignment, measuring social return",Design a technology business that addresses a specific social challenge while being commercially viable,4 hours,Foundation
240,Entrepreneurship,Exit Strategy: Building a Business You Can Sell,Learn how to build your tech business in a way that makes it attractive to buyers or investors for an exit,You will be able to identify metrics that increase valuation design systems that reduce key-person dependency,"Valuation multiples for tech companies, IP ownership, documentation, revenue quality, clean cap table",Assess a fictional tech company's exit readiness and write a 12-month plan to improve it,4 hours,Advanced
241,Entrepreneurship,Personal Finance for Tech Professionals,Learn how to manage your income from tech work to build long-term wealth in Nigeria,You will be able to build a personal financial system that saves invests and protects your tech income,"Emergency fund, investment basics, stocks vs real estate, separating business and personal money",Create a personal financial plan for your current income level and 3x income level,3 hours,Foundation
242,Entrepreneurship,Creating a Scalable Course Business on Selar,Learn how to build a profitable online course business on Nigeria's leading digital product platform,You will be able to create upload market and sell courses on Selar earning consistently each month,"Selar platform walkthrough, course pricing for Nigeria, product page optimisation, payment management",Create and publish your first paid course on Selar with a complete marketing plan,4 hours,Beginner
243,Entrepreneurship,Building a Tech Recruitment Agency,Learn how to start a tech recruitment agency that connects developers with companies in Nigeria and abroad,You will be able to source vet and place tech talent and earn placement fees from both sides,"Talent sourcing, candidate assessment, client acquisition, placement fee structures, contracts",Build the first month's pipeline for a fictional tech recruitment agency,4 hours,Intermediate
244,Entrepreneurship,Product Design Thinking: Building What People Actually Want,Learn the design thinking methodology to ensure you build products that genuinely solve user problems,You will be able to run a complete design thinking sprint from empathy mapping to prototype,"Empathise define ideate prototype test, user personas, journey mapping, prototype fidelity",Run a complete design thinking sprint for a real problem in your community,5 hours,Intermediate
245,Entrepreneurship,Growth Hacking for Nigerian Tech Startups,Learn growth strategies that work specifically for Nigerian startups with limited marketing budgets,You will be able to identify and run 5 growth experiments and measure which channel drives customer acquisition,"Viral loops, referral programmes, community growth, WhatsApp and SMS marketing, network effects",Design and run 3 growth experiments for a real business and measure results,5 hours,Intermediate
246,IoT and Hardware,What is IoT: How Everyday Devices Get Connected to the Internet,Understand the Internet of Things from first principles — what it is how it works and where it is already in your life,You will be able to explain how any IoT device connects sends data and receives commands and identify IoT opportunities in Nigeria,"What IoT is, sensors and actuators, connectivity protocols, edge vs cloud, IoT in Nigeria today",Map all the IoT devices you encounter in a day and explain how each one works,2 hours,Foundation
247,IoT and Hardware,Arduino From Zero: Programming Physical Hardware,Learn Arduino the beginner-friendly hardware platform that lets you program the physical world,You will be able to write Arduino C code that reads sensors controls LEDs motors and displays output,"Arduino IDE, digital and analog pins, setup() and loop(), Serial monitor, C basics for Arduino",Build a temperature alarm that lights an LED and sounds a buzzer when temperature exceeds a threshold,5 hours,Beginner
248,IoT and Hardware,Raspberry Pi: A Full Computer the Size of a Card,Learn the Raspberry Pi single-board computer and how to use it as the brain of any IoT project,You will be able to set up a Raspberry Pi connect it to the internet run Python code and interface with hardware,"Raspberry Pi setup, Raspbian OS, GPIO pins, Python for hardware, SSH access, running scripts on boot",Build a Raspberry Pi that reads a temperature sensor and sends readings to a web dashboard every 5 minutes,6 hours,Beginner
249,IoT and Hardware,Sensors: The Eyes and Ears of IoT Systems,Learn how the 20 most common sensors work and how to read them with Arduino or Raspberry Pi,You will be able to connect and read data from temperature humidity motion ultrasonic and gas sensors correctly,"Sensor types and working principles, analog vs digital sensors, reading data in code, calibration",Build a multi-sensor environment monitor that reads temperature humidity motion and gas levels simultaneously,5 hours,Beginner
250,IoT and Hardware,ESP8266 and ESP32: The Cheapest Way to Connect Hardware to WiFi,Learn the ESP microcontrollers that bring WiFi capability to any hardware project at low cost,You will be able to program an ESP32 to connect to WiFi send sensor data to a web server and receive commands,"ESP32 vs ESP8266, programming with Arduino IDE, WiFi connection, HTTP requests from hardware, deep sleep",Build an ESP32 sensor node that sends temperature readings to a PHP server every minute,5 hours,Beginner
251,IoT and Hardware,MQTT: The Protocol That Powers IoT Communication,Learn MQTT the lightweight messaging protocol that connects millions of IoT devices worldwide,You will be able to set up an MQTT broker publish sensor data and subscribe to receive commands from any IoT device,"What MQTT is, publish and subscribe, topics and QoS, Mosquitto broker, MQTT in Python and Arduino",Build an MQTT system where a sensor publishes data and a dashboard subscribes and displays it live,5 hours,Intermediate
252,IoT and Hardware,Building a Smart Home System From Scratch,Learn how to build a basic home automation system using affordable components available in Nigeria,You will be able to control lights fans and appliances from a phone app using ESP32 and a relay module,"Relay modules, WiFi control, mobile control with Blynk, voice control setup, safety considerations",Build a working smart switch that controls a real light bulb from a phone app,6 hours,Intermediate
253,IoT and Hardware,IoT Dashboard: Visualising Sensor Data in Real Time,Learn how to build a web dashboard that displays live IoT data in charts and gauges,You will be able to build a real-time dashboard that displays any sensor data updating live without page refresh,"WebSockets for real-time, Chart.js, data storage in MySQL, frontend gauges, alert thresholds",Build a live dashboard that displays temperature and humidity from 3 sensor nodes,5 hours,Intermediate
254,IoT and Hardware,Power Management for IoT: Making Devices That Last,Learn how to design IoT devices that run on batteries for months or years using sleep modes and efficient code,You will be able to calculate battery life for any IoT device and implement sleep modes to extend it,"ESP32 deep sleep, sensor power management, solar charging, battery selection, power consumption measurement",Extend an ESP32 sensor node's battery life from 2 days to 3 months using deep sleep,4 hours,Intermediate
255,IoT and Hardware,GSM and SMS: IoT Without WiFi,Learn how to add GSM mobile network connectivity to IoT devices for areas without WiFi coverage,You will be able to build IoT devices that send SMS alerts and upload data using a GSM SIM card,"SIM800L module, AT commands, sending SMS, GPRS data connection, power requirements",Build a remote farm sensor that sends daily SMS temperature readings and alerts on extremes,5 hours,Intermediate
256,IoT and Hardware,Building an IoT Smart Agriculture System,Learn how to build affordable IoT systems for monitoring farm conditions and automating irrigation,You will be able to build a system that monitors soil moisture weather and automatically waters crops,"Soil moisture sensors, weather sensors, relay-controlled pumps, threshold automation, data logging",Build a smart irrigation system that monitors soil moisture and waters a plot automatically,7 hours,Intermediate
257,IoT and Hardware,IoT Security: Protecting Connected Devices,Learn the security vulnerabilities in IoT devices and how to design hardware that cannot be easily hacked,You will be able to identify and fix the 10 most common IoT security vulnerabilities in any connected device,"Common IoT attacks, secure firmware updates, TLS on IoT, authentication for devices, network segmentation",Audit an insecure IoT setup and implement security hardening for all identified vulnerabilities,4 hours,Advanced
258,IoT and Hardware,Soldering and Circuit Building: Hands-On Electronics,Learn how to solder electronic components and build circuits on prototype boards and PCBs,You will be able to solder components correctly build circuits from schematics and fix common hardware faults,"Soldering technique, reading schematics, breadboard vs PCB, common components resistors capacitors diodes",Build a complete electronics project from a schematic including PCB design on EasyEDA,4 hours,Beginner
259,IoT and Hardware,PCB Design: Creating Custom Circuit Boards,Learn how to design professional printed circuit boards for your IoT and electronics projects,You will be able to design a complete PCB in EasyEDA export Gerber files and order manufactured boards,"Schematic capture, PCB layout rules, routing traces, Gerber files, ordering from JLCPCB",Design a simple IoT sensor PCB with power management and have it manufactured,6 hours,Intermediate
260,IoT and Hardware,3D Printing for Makers: Building IoT Enclosures,Learn 3D printing to create custom enclosures and parts for any electronics project,You will be able to design 3D models for IoT project enclosures and prepare them for printing,"Fusion 360 or Tinkercad basics, enclosure design, tolerances, slicing with Cura, ordering or printing",Design and produce a custom waterproof enclosure for an outdoor IoT sensor,5 hours,Beginner
261,IoT and Hardware,Industrial IoT: Monitoring Machines and Factories,Learn how IoT is applied in industrial settings to monitor machines prevent failures and optimise production,You will be able to design an industrial sensor monitoring system with real-time alerts and predictive maintenance,"Industrial sensors, 4-20mA signals, Modbus protocol, PLC basics, SCADA system concepts",Design an IoT monitoring system for a factory generator with vibration temperature and runtime tracking,5 hours,Advanced
262,IoT and Hardware,LoRaWAN: Long-Range IoT for Rural Areas,Learn LoRaWAN the radio technology that enables IoT connectivity kilometres from any WiFi or GSM network,You will be able to build a LoRa network that connects sensors over 5km range with tiny battery power,"LoRa vs LoRaWAN, range vs data rate tradeoffs, gateway setup, The Things Network, agriculture applications",Build a LoRa sensor network covering a 2km range and visualise data on The Things Network,6 hours,Advanced
263,IoT and Hardware,Zigbee and Z-Wave: Mesh Network IoT,Learn mesh networking protocols that create self-healing networks of IoT devices in homes and buildings,You will be able to build a Zigbee mesh network of sensors and controllers for a building automation project,"Zigbee protocol, mesh networking concept, coordinator and end devices, Home Assistant integration",Build a Zigbee mesh network of 5 sensor nodes and integrate it with a home automation dashboard,5 hours,Advanced
264,IoT and Hardware,Edge Computing: Processing IoT Data Locally,Learn edge computing to process IoT data on the device rather than sending everything to the cloud,You will be able to implement edge inference on a Raspberry Pi for real-time local decision making,"Edge vs cloud computing, TensorFlow Lite on Pi, local vs remote processing, latency and bandwidth benefits",Build an edge AI system that classifies objects from camera input locally with no internet,6 hours,Advanced
265,IoT and Hardware,Building a Smart Metering System,Learn how to build electricity and water meter reading systems that transmit data automatically,You will be able to build an automated meter reading system that uploads consumption data to a web dashboard,"Current transformers, pulse counting, prepaid meter concepts, DLMS protocol basics, data transmission",Build a smart electricity monitor that tracks real-time power consumption and sends alerts,6 hours,Intermediate
266,IoT and Hardware,GPS Tracking: Building Location-Aware Devices,Learn GPS technology and how to build vehicle and asset tracking systems,You will be able to build a GPS tracker that reports location every minute to a web map,"GPS modules, NMEA data, parsing coordinates, Google Maps API, geofencing alerts",Build a vehicle tracker that shows real-time location on a web map and sends alerts when it leaves an area,6 hours,Intermediate
267,IoT and Hardware,Computer Vision on IoT: Face and Object Detection on Low Power Devices,Learn how to run computer vision models on resource-constrained hardware like Raspberry Pi and Jetson Nano,You will be able to deploy face detection or object detection on a Raspberry Pi in real time,"OpenCV on Pi, TensorFlow Lite, NCNN framework, frame rate optimisation, camera module setup",Build a real-time person counter using a Raspberry Pi camera that increments a web counter,6 hours,Advanced
268,IoT and Hardware,IoT for Healthcare: Patient Monitoring Systems,Learn how IoT sensors are used to monitor patient vital signs and automate health alerts,You will be able to build a basic patient monitoring system that reads pulse and temperature and sends alerts,"Pulse oximeter sensors, ECG basics, BLE transmission, alert thresholds, privacy considerations",Build a wristband-style device that reads pulse and temperature and sends alerts to a nurse dashboard,6 hours,Intermediate
269,IoT and Hardware,Building a Weather Station With IoT,Learn how to build a complete weather monitoring station that broadcasts data online,You will be able to build a professional weather station with web dashboard and historical data storage,"BME280 for temperature humidity pressure, wind speed anemometer, rain gauge, Weather Underground upload",Build a complete personal weather station and upload readings to Weather Underground every 10 minutes,6 hours,Intermediate
270,IoT and Hardware,IoT Data Pipeline: From Sensor to Database to Dashboard,Learn how to build the complete data pipeline that takes sensor readings from hardware to a database to a UI,You will be able to build an end-to-end IoT data pipeline that ingests stores queries and visualises sensor data,"Data ingestion, time-series databases InfluxDB, Grafana dashboard, data aggregation, retention policies",Build a complete pipeline from an Arduino sensor through MQTT to InfluxDB and Grafana,7 hours,Intermediate
271,IoT and Hardware,Bluetooth and BLE: Short-Range IoT Communication,Learn Bluetooth and BLE communication to build devices that talk to phones and nearby hardware,You will be able to build a BLE sensor that broadcasts data to a smartphone app,"BLE vs Classic Bluetooth, GATT profile, characteristics and services, nRF52 and ESP32 BLE, phone apps",Build a BLE heart rate monitor that broadcasts to a custom phone app,5 hours,Intermediate
272,IoT and Hardware,NFC and RFID: The Technology Behind Access Cards,Learn how NFC and RFID work and how to build access control and payment applications with them,You will be able to build an RFID access control system and a contactless identification application,"RFID vs NFC, RC522 module, reading and writing cards, MIFARE format, access control logic",Build a student attendance system using RFID cards that records entry times to a database,4 hours,Beginner
273,IoT and Hardware,Digital Signage With IoT: Display Boards That Update Remotely,Learn how to build digital signage systems that update content remotely for shops schools and businesses,You will be able to build a digital display that updates its content from a web dashboard without physical access,"Raspberry Pi as display, Chromium kiosk mode, web-based content management, auto-update, scheduling",Build a digital notice board for a school that can be updated remotely from a web interface,4 hours,Intermediate
274,IoT and Hardware,Embedded C Programming: The Language of Hardware,Learn Embedded C the language used to program microcontrollers professionally,You will be able to write Embedded C programs that control registers access peripherals and run on bare metal hardware,"Registers and memory maps, bit manipulation, interrupts, timers, UART, I2C and SPI protocols",Write Embedded C code that controls an STM32 LED from a push button using interrupts,8 hours,Advanced
275,IoT and Hardware,IoT Firmware Updates: Deploying Updates Over the Air,Learn how to build IoT devices that update their own firmware remotely without needing physical access,You will be able to implement OTA firmware updates for ESP32 devices deployed anywhere,"OTA update concepts, ESP32 OTA with Arduino, update server, rollback on failure, versioning",Implement an OTA update system for a deployed ESP32 sensor and push a firmware update remotely,4 hours,Advanced
276,IoT and Hardware,Smart Poultry Farming: IoT for Nigerian Agriculture,Learn how to build an automated IoT monitoring system for poultry farms,You will be able to build a system that monitors temperature humidity and ammonia and auto-controls fans and heaters,"Gas sensors, automatic fan control, alert systems, data logging, WhatsApp SMS notifications",Build a poultry house monitoring system that auto-controls environment and sends daily reports,6 hours,Intermediate
277,IoT and Hardware,Solar and Renewable Energy Monitoring With IoT,Learn how to build IoT systems that monitor solar panel output battery levels and energy consumption,You will be able to build a solar energy monitoring dashboard that tracks generation consumption and battery state,"Current and voltage sensing, INA219 module, battery SOC calculation, energy dashboard",Build a solar system monitor that displays real-time generation consumption and battery percentage,5 hours,Intermediate
278,IoT and Hardware,Building a Smart Classroom,Learn how to build IoT systems that improve learning environments in schools,You will be able to build a classroom monitoring system covering attendance environment and energy management,"RFID attendance, air quality monitoring, smart lighting, occupancy detection, dashboard for teachers",Design and build a complete smart classroom IoT system as a deployable school product,7 hours,Intermediate
279,IoT and Hardware,Wearables: Building Devices You Wear,Learn how to build wearable electronics including fitness trackers and health monitors,You will be able to design and build a basic wearable device using flexible hardware and BLE communication,"Wearable hardware constraints, flex circuit basics, MPU6050 for motion, BLE to phone, power for wearables",Build a step counter wristband that syncs daily step count to a phone app,6 hours,Advanced
280,IoT and Hardware,IoT Business Models: Selling Connected Products,Learn how to build a business around IoT hardware and the recurring service revenue it enables,You will be able to design a hardware product business with both hardware revenue and subscription service income,"Hardware margins, IoT SaaS, device as a service, support and maintenance, connectivity costs",Design a complete business model for an IoT product targeting Nigerian agriculture or security,3 hours,Foundation
281,IoT and Hardware,OpenCV for Video Analytics: Counting and Tracking,Learn how to use computer vision to extract business intelligence from video streams,You will be able to build video analytics that count people track objects and detect anomalies in footage,"Background subtraction, contour detection, centroid tracking, line crossing counting, video annotation",Build a customer footfall counter using a camera that counts entries and exits per hour,5 hours,Intermediate
282,IoT and Hardware,Node-RED: Visual Programming for IoT,Learn Node-RED the visual flow-based programming tool that makes IoT automation faster to build,You will be able to build IoT automation flows that connect sensors APIs databases and dashboards using Node-RED,"Node-RED installation, nodes and wires, inject and debug, MQTT node, dashboard node, HTTP requests",Build a complete IoT monitoring and alerting system using only Node-RED flows with no manual coding,4 hours,Beginner
283,IoT and Hardware,Microcontroller Fundamentals: How CPUs Really Work,Learn how microcontrollers work at the register level the foundation for all embedded programming,You will be able to explain the CPU fetch-decode-execute cycle memory architecture and peripheral bus operation,"CPU architecture, ALU, registers, memory mapped I/O, interrupts, clock and timing",Trace the execution of a simple program through an Arduino at the register level using a simulator,4 hours,Foundation
284,IoT and Hardware,IoT with Python on Raspberry Pi: Industrial Applications,Learn how to use Python on Raspberry Pi for industrial monitoring and control applications,You will be able to build a Python-based industrial monitoring system with real-time data collection and alerting,"GPIO with Python, I2C and SPI in Python, multithreading for IoT, database integration, alarm systems",Build a Python industrial monitoring system for a diesel generator with runtime and fault alerts,6 hours,Intermediate
285,IoT and Hardware,Voice Control for IoT: Talking to Your Devices,Learn how to add offline voice control to IoT devices using local speech recognition,You will be able to build voice-controlled smart home devices that work without internet connectivity,"PicoVoice for offline voice, wake word detection, command recognition, Alexa alternative, privacy tradeoffs",Build a voice-controlled room automation system that responds to 10 voice commands offline,5 hours,Advanced
286,IoT and Hardware,Building a Flood Detection System,Learn how to build IoT flood sensors that can provide early warning for communities near waterways,You will be able to build a flood detection network with GSM alerts that warns communities before flooding,"Ultrasonic water level sensing, GSM SMS alerts, threshold alarms, solar power, weatherproofing",Build and deploy a flood warning sensor that sends SMS alerts when water level rises dangerously,5 hours,Intermediate
287,IoT and Hardware,Smart Street Lighting: IoT for Infrastructure,Learn how to build intelligent street lighting systems that save power and respond to conditions,You will be able to build an automated street lighting controller with motion detection and energy monitoring,"Light-dependent resistors, motion sensors, relay control, energy metering, remote management",Design and build a prototype smart street light controller that adjusts brightness based on motion,5 hours,Intermediate
288,IoT and Hardware,IoT Testing and Quality Assurance,Learn how to test IoT systems thoroughly before deploying them in real environments,You will be able to design and execute a complete test plan for any IoT system covering hardware software and communication,"Hardware testing, firmware unit tests, network reliability testing, stress testing, field testing",Write and execute a complete test plan for an ESP32-based IoT sensor system,4 hours,Intermediate
289,IoT and Hardware,Building IoT With the Cloud: AWS IoT and Azure IoT,Learn how to connect IoT devices to major cloud platforms for scalable data storage and processing,You will be able to connect hardware sensors to AWS IoT Core or Azure IoT Hub and build a cloud dashboard,"Cloud IoT architecture, MQTT to cloud, device registry, telemetry data, cloud rules and triggers",Connect an ESP32 to AWS IoT Core and build a CloudWatch dashboard showing live sensor data,5 hours,Advanced
290,IoT and Hardware,Reverse Engineering: Understanding Any Electronic Device,Learn how to examine disassemble and understand any electronic device or circuit,You will be able to identify components on a PCB trace signals and understand how an unknown circuit functions,"Multimeter and oscilloscope use, component identification, circuit tracing, datasheet reading",Reverse-engineer a common household electronic device and document how it works,5 hours,Advanced
291,Cybersecurity,Cybersecurity From Zero: How Hackers Think and How to Stop Them,Learn cybersecurity fundamentals by understanding how attacks work before learning how to defend,You will be able to explain the major cybercategories of cyber threat and the defensive controls that counter each one,"CIA triad, threat actors, attack vectors, defence in depth, security mindset",Analyse 5 real Nigerian cyberattack case studies and map the attack to the defence that would have prevented it,3 hours,Foundation
292,Cybersecurity,Ethical Hacking: Hacking Legally for a Living,Learn penetration testing the practice of finding security vulnerabilities before the bad guys do,You will be able to conduct a structured penetration test on a target system with permission and write a professional report,"Penetration testing methodology, scoping and rules of engagement, reconnaissance, exploitation, reporting",Conduct a full penetration test on a vulnerable VM (HackTheBox or TryHackMe) and write a report,8 hours,Intermediate
293,Cybersecurity,Kali Linux: The Hacker's Operating System,Learn Kali Linux the specialised operating system that contains every security testing tool a professional needs,You will be able to install configure and use Kali Linux as a professional security testing platform,"Installing Kali, navigating the tool library, updating and maintaining, virtualisation, essential tools",Set up a complete Kali Linux environment and use 10 different security tools for basic tests,4 hours,Beginner
294,Cybersecurity,Network Scanning and Reconnaissance: Finding What's Out There,Learn how attackers and defenders scan networks to discover devices open ports and running services,You will be able to use Nmap and Wireshark to fully map any network and identify potential vulnerabilities,"Nmap scan types, port scanning, service detection, OS fingerprinting, Wireshark packet capture",Scan a permission lab network completely and document every device service and potential vulnerability,4 hours,Beginner
295,Cybersecurity,Web Application Hacking: Attacking Websites Professionally,Learn how to find and exploit the most common web application vulnerabilities on authorised targets,You will be able to test any web application for OWASP Top 10 vulnerabilities and document findings professionally,"SQL injection, XSS, CSRF, IDOR, file upload vulnerabilities, Burp Suite, OWASP Top 10",Complete 5 web application challenges on HackTheBox and write a professional finding for each,6 hours,Intermediate
296,Cybersecurity,Password Security: Cracking and Protecting Credentials,Learn how passwords are stored how they are cracked and how to build systems that are resistant to attack,You will be able to demonstrate password cracking techniques on authorised hashes and implement proper password security,"Password hashing bcrypt and Argon2, hash cracking with Hashcat, rainbow tables, dictionary attacks",Crack a set of practice password hashes using Hashcat and then implement bcrypt correctly in code,4 hours,Intermediate
297,Cybersecurity,Social Engineering: The Human Element of Security,Learn how attackers manipulate people rather than systems and how to train employees to resist,You will be able to explain and simulate social engineering attacks and design a staff security awareness programme,"Phishing, vishing, pretexting, baiting, security awareness training design, anti-phishing measures",Design a security awareness campaign for a 50-person Nigerian company including simulated phishing,4 hours,Foundation
298,Cybersecurity,Network Security: Firewalls VPNs and Intrusion Detection,Learn how to design and implement network security controls that protect organisational infrastructure,You will be able to configure a firewall set up a VPN and deploy an intrusion detection system on a network,"Firewall rules and zones, pfSense, OpenVPN, Snort IDS, network segmentation",Configure a pfSense firewall with zones rules and an IDS for a small office network,6 hours,Intermediate
299,Cybersecurity,Linux Security Hardening: Locking Down Servers,Learn how to harden a Linux server so it resists attacks even when exposed to the internet,You will be able to take a fresh Ubuntu server and apply 20 security hardening measures systematically,"SSH hardening, firewall with UFW, fail2ban, user accounts, unused services removal, audit logging",Harden a fresh Ubuntu 24 server and verify each control with a security checklist,4 hours,Intermediate
300,Cybersecurity,Malware Analysis: Understanding What Bad Code Does,Learn how to safely analyse malware samples to understand their behaviour and purpose,You will be able to set up a malware analysis sandbox and perform basic static and dynamic analysis on samples,"Analysis environment setup, static analysis strings and PE headers, dynamic analysis with sandboxes, indicators of compromise",Analyse 3 malware samples and produce an indicator of compromise report for each,6 hours,Advanced
301,Cybersecurity,Digital Forensics: Investigating Cybercrimes,Learn how to conduct digital forensic investigations that produce court-admissible evidence,You will be able to acquire a forensic image of a device analyse it for evidence and document findings properly,"Chain of custody, forensic imaging with dd and FTK Imager, file system analysis, artefact recovery, reporting",Investigate a practice forensic challenge and produce a complete forensic report,7 hours,Advanced
302,Cybersecurity,Cryptography: The Mathematics of Security,Learn how cryptography protects data and how to apply it correctly in applications,You will be able to implement symmetric and asymmetric encryption hashing and digital signatures correctly in code,"Symmetric AES, asymmetric RSA, hashing SHA-256, digital signatures, TLS, PKI, common crypto mistakes",Implement a complete secure message exchange system using correct cryptography in Python,6 hours,Intermediate
303,Cybersecurity,Bug Bounty Hunting: Getting Paid to Find Vulnerabilities,Learn how to find security vulnerabilities in real companies and get paid through bug bounty programmes,You will be able to find and report a valid security vulnerability on a bug bounty programme within 30 days,"HackerOne and Bugcrowd, scope understanding, vulnerability classes, writing quality reports, triage process",Complete your first bug bounty submission on a public programme,6 hours,Intermediate
304,Cybersecurity,Cloud Security: Protecting AWS and Azure Infrastructure,Learn how to secure cloud infrastructure and identify the most common cloud misconfiguration vulnerabilities,You will be able to audit an AWS account for security issues and implement CIS benchmark controls,"IAM least privilege, S3 bucket security, security groups, CloudTrail, AWS security hub",Audit a practice AWS account against the CIS benchmark and remediate all critical findings,5 hours,Advanced
305,Cybersecurity,Security Operations Centre: Monitoring for Threats,Learn how a Security Operations Centre works and how to use SIEM tools to detect threats,You will be able to set up a basic SOC with log collection alerting and incident response workflow,"SIEM concepts, log sources, Splunk or ELK Stack, alert rules, incident response workflow",Set up a practice SOC environment that detects and alerts on common attack patterns,7 hours,Advanced
306,Cybersecurity,Mobile Security: Protecting Android and iOS Apps,Learn how mobile applications are attacked and how to build and test apps that resist common attacks,You will be able to perform a basic mobile application security assessment on an Android APK,"APK analysis with MobSF, traffic interception with Burp Suite, insecure storage, certificate pinning",Perform a security assessment on a deliberately vulnerable Android app and write findings,5 hours,Advanced
307,Cybersecurity,API Security: The Attack Surface Nobody Talks About,Learn how APIs are attacked and how to design and test APIs that are secure by design,You will be able to test any API for OWASP API Security Top 10 vulnerabilities and implement fixes,"OWASP API Top 10, authentication bypass, mass assignment, rate limiting, Postman for security testing",Test a practice vulnerable API for all OWASP API Top 10 vulnerabilities and document remediation,5 hours,Advanced
308,Cybersecurity,Secure Code Review: Reading Code for Vulnerabilities,Learn how to review any codebase systematically to find security vulnerabilities before deployment,You will be able to conduct a structured secure code review of PHP JavaScript or Python code and write findings,"Taint analysis, dangerous functions, input validation gaps, authentication flaws, common misconfigurations",Review a deliberately vulnerable web application codebase and produce a security finding report,5 hours,Advanced
309,Cybersecurity,Incident Response: Handling Cyber Attacks When They Happen,Learn how to respond to a cyberattack in an organised way that contains damage and restores operations,You will be able to lead an incident response from detection through containment eradication and recovery,"IR lifecycle, containment strategies, evidence preservation, eradication, lessons learned, CIRT team setup",Simulate and respond to a ransomware incident scenario with complete documentation,5 hours,Advanced
310,Cybersecurity,Cybersecurity Career Paths: From Student to Professional,Learn the different cybersecurity career paths certifications and how to break into the field from Nigeria,You will be able to identify your preferred cybersecurity career path and create a concrete 12-month development plan,"Career paths in cybersecurity, CompTIA Security+ and CEH relevance, Nigerian job market, certifications",Build a 12-month cybersecurity career development plan and apply to 3 entry-level opportunities,3 hours,Foundation
311,Cybersecurity,Threat Modelling: Security Before You Build,Learn threat modelling to identify and mitigate security risks before writing a single line of code,You will be able to produce a STRIDE threat model for any system and prioritise security controls accordingly,"STRIDE methodology, data flow diagrams, threat identification, risk ranking, control selection, documentation",Produce a complete threat model for a fictional Nigerian payment application,4 hours,Intermediate
312,Cybersecurity,Phishing Attack Simulation and Awareness Training,Learn how to build and run a phishing simulation programme to measure and improve staff security awareness,You will be able to run a complete phishing simulation campaign and design a training programme based on results,"GoPhish setup, campaign design, metrics, training content, before and after measurement",Run a simulated phishing campaign against a 20-person group and deliver training to those who clicked,5 hours,Intermediate
313,Cybersecurity,Vulnerability Management: Finding and Fixing Issues at Scale,Learn how to build a vulnerability management programme that systematically finds and remediates security issues,You will be able to run vulnerability scans prioritise findings and track remediation to closure,"Vulnerability scanning with OpenVAS, CVSS scoring, remediation priority, tracking and reporting, SLA setting",Set up and run a complete vulnerability management cycle for a practice environment,5 hours,Intermediate
314,Cybersecurity,Blockchain Security: Smart Contract Vulnerabilities,Learn the unique security vulnerabilities in blockchain applications and smart contracts,You will be able to identify and exploit common Solidity smart contract vulnerabilities in a practice environment,"Smart contract audit methodology, reentrancy, integer overflow, access control flaws, Slither analysis tool",Audit a vulnerable smart contract and identify all exploitable vulnerabilities with remediation,5 hours,Advanced
315,Cybersecurity,Securing Nigerian Financial Applications,Learn the security requirements and attack patterns specific to Nigerian banking and fintech applications,You will be able to design a security architecture for a Nigerian payment application that satisfies CBN requirements,"CBN cybersecurity guidelines, PCI DSS basics, OTP security, session management, fraud detection",Perform a security review of a practice fintech application against CBN cybersecurity guidelines,5 hours,Advanced
316,Cybersecurity,Wireless Security: Attacking and Defending WiFi Networks,Learn how WiFi networks are attacked and how to configure networks that resist common attacks,You will be able to test a WiFi network for security weaknesses and implement WPA3 and proper network segmentation,"WEP WPA WPA2 WPA3, handshake capture, Aircrack-ng, evil twin attacks, enterprise WiFi security",Test a practice WiFi network for vulnerabilities and implement a hardened configuration,4 hours,Intermediate
317,Cybersecurity,OSINT: Finding Information Like Intelligence Agencies Do,Learn Open Source Intelligence the art of finding information about people and companies using public sources,You will be able to conduct a complete OSINT investigation on a target using only publicly available information,"Google dorking, Maltego, Shodan, social media OSINT, email and domain enumeration, OSINT framework",Conduct an authorised OSINT investigation on your own digital footprint and produce a findings report,4 hours,Intermediate
